,city,lat,lng,country,iso2,admin_name,capital,population,population_proper,details
36,Vasai,19.47,72.8,India,IN,Mahārāshtra,,1222390,1222390,"['Virar', ' Vasai-Virar', ' Vasai', ' Palghar', ' Maharashtra', ' 401303', ' India']"
37,Najafgarh,28.6092,76.9798,India,IN,Delhi,,1203180,1203180,"['Bharat Kshter', ' Thana Road', ' Najafgarh', ' Najafgarh Tehsil', ' South West Delhi District', ' Delhi', ' 110043', ' India']"
38,Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491,1198491,"['Varanasi', ' Sadar', ' Varanasi District', ' Uttar Pradesh', ' 221001', ' India']"
39,Srīnagar,34.09,74.79,India,IN,Jammu and Kashmīr,admin,1180570,1180570,"['Safa kadel', ' Srinagar', ' Srīnagar', ' Srinagar District', ' Jammu and Kashmir', ' 190010', ' India']"
40,Dhanbād,23.7998,86.4305,India,IN,Jhārkhand,,1162472,1162472,"['Kasturba Nagar', ' Dhanbad', ' Dhanbad-Cum-Kenduadih-Cum-Jagata', ' Dhanbad District', ' Jharkhand', ' 826001', ' India']"
41,Amritsar,31.64,74.86,India,IN,Punjab,,1132383,1132383,"['Cantonment', ' Amritsar', ' Amritsar I Tahsil', ' Amritsar District', ' Punjab', ' 143001', ' India']"
42,Alīgarh,27.88,78.08,India,IN,Uttar Pradesh,,1131160,1131160,"['Aligarh', ' Koil', ' Aligarh District', ' Uttar Pradesh', ' 202001', ' India']"
43,Guwāhāti,26.1722,91.7458,India,IN,Assam,,1116267,1116267,"['Aathgaon', ' Guwahati', ' Kamrup Metropolitan District', ' Assam', ' 781008', ' India']"
44,Hāora,22.58,88.3294,India,IN,West Bengal,,1077075,1077075,"['Howrah Maidan', ' Haora', ' Howrah District', ' West Bengal', ' 711104', ' India']"
45,Rānchi,23.36,85.33,India,IN,Jhārkhand,admin,1073440,1073440,"['Konkā', ' Ranchi', ' Kanke', ' Ranchi District', ' Jharkhand', ' 834001', ' India']"
46,Gwalior,26.2215,78.178,India,IN,Madhya Pradesh,,1069276,1069276,"['Gwalior', ' Citycenter Tahsil', ' Gwalior District', ' Madhya Pradesh', ' 474002', ' India']"
47,Chandīgarh,30.75,76.78,India,IN,Chandīgarh,admin,1055450,1055450,"['Sector 16', ' Ward 3', ' Chandigarh', ' Chandigarh District', ' Chandigarh', ' 160016', ' India']"
48,Vijayavāda,16.5193,80.6305,India,IN,Andhra Pradesh,,1048240,1048240,"['Pezzonipet', ' Gandhi Nagar', ' Vijayawada', ' Vijayawada (Urban)', ' NTR', ' Andhra Pradesh', ' 520001', ' India']"
49,Jodhpur,26.28,73.02,India,IN,Rājasthān,,1033918,1033918,"['Jodhpur', ' Jodhpur Tehsil', ' Jodhpur District', ' Rajasthan', ' 342001', ' India']"
50,Raipur,21.25,81.63,India,IN,Chhattīsgarh,admin,1010087,1010087,"['Raipur', ' Raipur Tahsil', ' Raipur District', ' Chhattisgarh', ' 493332', ' India']"
51,Kota,25.18,75.83,India,IN,Rājasthān,,1001694,1001694,"['Kunadi', ' Kota', ' Ladpura Tehsil', ' Kota District', ' Rajasthan', ' 324001', ' India']"
52,Kālkāji Devi,28.5485,77.2513,India,IN,Delhi,,824177,824177,"['Madan House', ' 26', ' Nehru Place', ' Kalkaji Tehsil', ' South East Delhi District', ' Delhi', ' 110019', ' India']"
53,Bhayandar,19.29,72.85,India,IN,Mahārāshtra,,809378,809378,"['Shri Ramprasad Agrawal (Kandoi) Marg', ' Bhayander West', ' Mira-Bhayander', ' Thane', ' Maharashtra', ' 401101', ' India']"
54,Ambattūr,13.1143,80.1548,India,IN,Tamil Nādu,,466205,466205,"['CMWSSB Division 85', ' Zone 7 Ambattur', ' Ambattur', ' Thiruvallur District', ' Tamil Nadu', ' 600053', ' India']"
55,Salt Lake City,22.61,88.4,India,IN,West Bengal,,403316,403316,"['Lake Town', ' South Dumdum', ' Barrackpore', ' North 24 Parganas District', ' West Bengal', ' 700089', ' India']"
56,Bhātpāra,22.87,88.41,India,IN,West Bengal,,386019,386019,"['Ananda Bazaar', ' Bhatpara', ' Naihati', ' Barrackpore', ' North 24 Parganas District', ' West Bengal', ' 743165', ' India']"
57,Kūkatpalli,17.4849,78.4138,India,IN,Andhra Pradesh,,385821,385821,"['Ramayya Nagar', ' Ward 121 Kukatpally', ' Greater Hyderabad Municipal Corporation West Zone', ' Hyderabad', ' Kukatpally mandal', ' Medchal–Malkajgiri District', ' Telangana', ' 500072', ' India']"
